pmid,publication_year,title,pub_types,is_primary_research,species_mesh,chemicals,model_mesh,qualifiers,mesh_major
27135883,2016,Novel Pathomechanisms of Cardiomyocyte Dysfunction in a Model of Heart Failure with Preserved Ejection Fraction,"Journal Article; Research Support, Non-U.S. Gov't",True,"Rats; Rats, Wistar",Aniline Compounds; Central Nervous System Stimulants; Phenyl Ethers; SEA 0400; Sodium-Calcium Exchanger; Caffeine (3G6A5W338E); Calcium (SY7Q814VUP),,"Aniline Compounds/pharmacology; Caffeine/pharmacology; Calcium/metabolism; Central Nervous System Stimulants/pharmacology; Heart Failure/complications; Heart Failure/diagnostic imaging; Heart Failure/physiopathology; Hypertrophy, Left Ventricular/complications; Hypertrophy, Left Ventricular/diagnostic imaging; Hypertrophy, Left Ventricular/physiopathology; Myocytes, Cardiac/drug effects; Myocytes, Cardiac/metabolism; Myocytes, Cardiac/physiology; Phenyl Ethers/pharmacology; Renal Insufficiency, Chronic/complications; Renal Insufficiency, Chronic/physiopathology; Sodium-Calcium Exchanger/antagonists & inhibitors","Aniline Compounds/pharmacology; Heart Failure/physiopathology; Myocytes, Cardiac/drug effects; Phenyl Ethers/pharmacology; Renal Insufficiency, Chronic/physiopathology; Sodium-Calcium Exchanger/antagonists & inhibitors; Stroke Volume"
27470639,2016,Alternative Splicing of Titin Restores Diastolic Function in an HFpEF-Like Genetic Murine Model ( <i>Ttn</i> <sup>ΔIAjxn</sup> ),Journal Article,True,"Mice; Mice, Transgenic",Connectin; Protein Isoforms,"Disease Models, Animal","Alternative Splicing/physiology; Blood Pressure/physiology; Connectin/biosynthesis; Connectin/genetics; Heart Failure/genetics; Heart Failure/metabolism; Myocytes, Cardiac/physiology; Physical Conditioning, Animal/physiology; Protein Isoforms/biosynthesis; Protein Isoforms/genetics; Stroke Volume/physiology","Alternative Splicing/physiology; Blood Pressure/physiology; Connectin/biosynthesis; Disease Models, Animal; Heart Failure/metabolism; Stroke Volume/physiology"
27630136,2016,Experimentally Increasing the Compliance of Titin Through RNA Binding Motif-20 (RBM20) Inhibition Improves Diastolic Function In a Mouse Model of Heart Failure With Preserved Ejection Fraction,Journal Article,True,"Mice; Mice, Transgenic","Connectin; RBM20 protein, mouse; RNA-Binding Proteins","Disease Models, Animal","Connectin/physiology; Diastole/genetics; Diastole/physiology; Exercise Tolerance/genetics; Heart Failure/genetics; Heart Failure/metabolism; Heart Failure/physiopathology; Hypertrophy, Left Ventricular/metabolism; RNA-Binding Motifs/genetics; RNA-Binding Proteins/genetics; Stroke Volume/physiology; Ventricular Function, Left/genetics; Ventricular Function, Left/physiology","Diastole/genetics; Exercise Tolerance/genetics; Heart Failure/genetics; RNA-Binding Proteins/genetics; Ventricular Function, Left/genetics"
27907892,2016,The parallel tales of microvascular angina and heart failure with preserved ejection fraction: a paradigm shift,Journal Article,True,Humans,,,Heart Failure/diagnosis; Heart Failure/etiology; Heart Failure/therapy; Microvascular Angina/complications; Microvascular Angina/diagnosis; Microvascular Angina/therapy; Stroke Volume/physiology,Heart Failure/etiology; Microvascular Angina/complications
27922176,2016,"Sitagliptin reduces inflammation, fibrosis and preserves diastolic function in a rat model of heart failure with preserved ejection fraction",Journal Article,True,"Rats, Inbred Dahl","Anti-Inflammatory Agents; Dipeptidyl-Peptidase IV Inhibitors; Glp1r protein, rat; Glucagon-Like Peptide-1 Receptor; Nitric Oxide (31C4KY9ESH); Glucagon-Like Peptide 1 (89750-14-1); DPP4 protein, rat (EC 3.4.14.5); Dipeptidyl Peptidase 4 (EC 3.4.14.5); Sitagliptin Phosphate (TS63EW8X6F)",,Anti-Inflammatory Agents/pharmacology; Anti-Inflammatory Agents/therapeutic use; Blood Pressure/drug effects; Diastole/drug effects; Dipeptidyl Peptidase 4/metabolism; Dipeptidyl-Peptidase IV Inhibitors/pharmacology; Dipeptidyl-Peptidase IV Inhibitors/therapeutic use; Glucagon-Like Peptide 1/metabolism; Glucagon-Like Peptide-1 Receptor/metabolism; Heart/drug effects; Heart/physiology; Heart Failure/drug therapy; Heart Failure/metabolism; Heart Failure/pathology; Heart Failure/physiopathology; Myocardium/pathology; Nitric Oxide/metabolism; Sitagliptin Phosphate/pharmacology; Sitagliptin Phosphate/therapeutic use,Anti-Inflammatory Agents/therapeutic use; Dipeptidyl-Peptidase IV Inhibitors/therapeutic use; Heart Failure/drug therapy; Sitagliptin Phosphate/therapeutic use
28118022,2017,"Development of a Mouse Model of Metabolic Syndrome, Pulmonary Hypertension, and Heart Failure with Preserved Ejection Fraction","Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",True,"Mice; Mice, Inbred AKR",,"Diet, High-Fat; Disease Models, Animal","Heart Failure/complications; Heart Failure/pathology; Heart Failure/physiopathology; Hypertension, Pulmonary/complications; Hypertension, Pulmonary/pathology; Hypertension, Pulmonary/physiopathology; Metabolic Syndrome/complications; Metabolic Syndrome/pathology; Metabolic Syndrome/physiopathology","Heart Failure/complications; Heart Failure/physiopathology; Hypertension, Pulmonary/complications; Hypertension, Pulmonary/physiopathology; Metabolic Syndrome/complications; Metabolic Syndrome/physiopathology; Stroke Volume"
28611124,2017,Endothelial Senescence Contributes to Heart Failure With Preserved Ejection Fraction in an Aging Mouse Model,Journal Article,True,Mice,,"Disease Models, Animal","Endothelium, Vascular/pathology; Endothelium, Vascular/physiopathology; Heart Failure/diagnosis; Heart Failure/physiopathology; Stroke Volume/physiology","Aging; Cellular Senescence; Endothelium, Vascular/pathology; Heart Failure/physiopathology; Stroke Volume/physiology"
28974519,2017,Delayed Repolarization Underlies Ventricular Arrhythmias in Rats With Heart Failure and Preserved Ejection Fraction,Journal Article; Video-Audio Media,True,"Rats, Inbred Dahl","Kcnd3 protein, rat; Shal Potassium Channels; Sodium Chloride, Dietary; Potassium (RWP5GA015D)","Disease Models, Animal; Sodium Chloride, Dietary","Arrhythmias, Cardiac/diagnosis; Arrhythmias, Cardiac/etiology; Arrhythmias, Cardiac/metabolism; Arrhythmias, Cardiac/physiopathology; Heart Failure/diagnosis; Heart Failure/etiology; Heart Failure/metabolism; Heart Failure/physiopathology; Heart Ventricles/metabolism; Heart Ventricles/pathology; Heart Ventricles/physiopathology; Potassium/metabolism; Shal Potassium Channels/genetics; Shal Potassium Channels/metabolism; Ventricular Dysfunction, Left/diagnosis; Ventricular Dysfunction, Left/etiology; Ventricular Dysfunction, Left/metabolism; Ventricular Dysfunction, Left/physiopathology","Action Potentials; Arrhythmias, Cardiac/etiology; Heart Failure/etiology; Heart Rate; Heart Ventricles/physiopathology; Ventricular Dysfunction, Left/etiology; Ventricular Function, Left"
29055654,2017,Echocardiographic evaluation of diastolic function in mouse models of heart disease,"Journal Article; Research Support, Non-U.S. Gov't",True,"Mice, Inbred C57BL",Thapsigargin (67526-95-8); Sarcoplasmic Reticulum Calcium-Transporting ATPases (EC 3.6.3.8),"Disease Models, Animal",Cardiomegaly/complications; Cardiomegaly/pathology; Cardiomegaly/physiopathology; Diastole/physiology; Heart Diseases/complications; Heart Diseases/diagnostic imaging; Heart Diseases/physiopathology; Heart Failure/complications; Heart Failure/pathology; Heart Failure/physiopathology; Sarcoplasmic Reticulum Calcium-Transporting ATPases/antagonists & inhibitors; Sarcoplasmic Reticulum Calcium-Transporting ATPases/metabolism; Systole/physiology; Thapsigargin/pharmacology,Diastole/physiology; Echocardiography; Heart Diseases/diagnostic imaging; Heart Diseases/physiopathology
29066440,2017,Exercise Training Reveals Inflexibility of the Diaphragm in an Animal Model of Patients With Obesity‐Driven Heart Failure With a Preserved Ejection Fraction,Journal Article,True,"Rats, Zucker","Muscle Proteins; Trim55 protein, rat; Tripartite Motif Proteins; Trim63 protein, rat (EC 2.3.2.27); Ubiquitin-Protein Ligases (EC 2.3.2.27)","Disease Models, Animal","Diaphragm/metabolism; Diaphragm/physiopathology; Heart Failure/etiology; Heart Failure/metabolism; Heart Failure/physiopathology; Heart Failure/therapy; Mitochondria, Muscle/metabolism; Mitochondria, Muscle/pathology; Muscle Fibers, Skeletal/metabolism; Muscle Fibers, Skeletal/pathology; Muscle Proteins/metabolism; Obesity/complications; Obesity/metabolism; Obesity/physiopathology; Obesity/therapy; Tripartite Motif Proteins/metabolism; Ubiquitin-Protein Ligases/metabolism","Diaphragm/physiopathology; Exercise Tolerance; Heart Failure/therapy; High-Intensity Interval Training; Muscle Weakness; Obesity/therapy; Stroke Volume; Ventricular Function, Left"
